1,vanilla ice cream,2.99, stuff,NULL,Food,true
2,chocolate ice cream,2.94,stuff,NULL,Food,true
3,strawberry ice cream,2.95, stuff,NULL,Food,true
4,6-pack of paycheck pilsners,11.49,stuff,NULL,NULL,true
5,seven fabergé easter eggs,1199000.00,stuff,NULL,NULL,true
6,painting - the storm on the sea of galilee,44000000.00,stuff,NULL,NULL,true
7,Public-key user-facing software,7580.97,stuff,NULL,Home,true
8,Balanced non-volatile capability,6699.49,stuff,NULL,Sports,true
9,Down-sized 24hour middleware,2264.79,stuff,NULL,Clothing,true
10,Switchable multimedia superstructure,2427.10,stuff,NULL,Electronics,true
11,Managed disintermediate conglomeration,4043.02,stuff,NULL,Food,true
12,Down-sized value-added toolset,9198.21,stuff,NULL,Clothing,true
13,Universal attitude-oriented interface,9795.13,stuff,NULL,Toys,true
14,Secured responsive knowledgebase,2458.78,stuff,NULL,Clothing,true
15,Robust 6thgeneration extranet,5574.94,stuff,NULL,Sports,true
16,Upgradable homogeneous algorithm,595.63,stuff,NULL,Food,true
17,Cross-group heuristic frame,2470.58,stuff,NULL,Home,true
18,Front-line motivating help-desk,2658.94,stuff,NULL,Books,true
19,Versatile impactful Graphical User Interface,4421.63,stuff,NULL,Food,true
20,Object-based 24/7 function,8689.36,stuff,NULL,Toys,true
21,Reactive methodical alliance,8712.73,stuff,NULL,Sports,true
22,Reactive empowering software,627.58,stuff,NULL,Food,true
23,Object-based uniform capability,6615.44,stuff,NULL,Clothing,true
24,Proactive actuating adapter,4473.94,stuff,NULL,Sports,true
25,Automated eco-centric software,9535.89,stuff,NULL,Books,true
26,Vision-oriented explicit software,3393.97,stuff,NULL,Food,true
27,Progressive multi-state Graphical User Interface,6325.32,stuff,NULL,Clothing,true
28,Expanded bifurcated open system,5397.31,stuff,NULL,Electronics,true
29,Reverse-engineered systematic success,8729.87,stuff,NULL,Home,true
30,Multi-channeled cohesive collaboration,5417.95,stuff,NULL,Clothing,true
31,Advanced optimal application,9254.19,stuff,NULL,Home,true
32,Monitored high-level frame,4807.41,stuff,NULL,Food,true
33,Proactive zero tolerance initiative,9841.55,stuff,NULL,Clothing,true
34,Down-sized 24hour toolset,2306.72,stuff,NULL,Books,true
35,Balanced leadingedge capacity,5592.01,stuff,NULL,Books,true
36,Up-sized mission-critical secured line,4220.95,stuff,NULL,Toys,true
37,Seamless content-based architecture,8992.54,stuff,NULL,Electronics,true
38,Grass-roots context-sensitive moderator,2782.08,stuff,NULL,Books,true
39,Switchable scalable complexity,9497.14,stuff,NULL,Electronics,true
40,Profit-focused responsive utilization,8903.77,stuff,NULL,Toys,true
41,Networked web-enabled Internet solution,4354.39,stuff,NULL,Sports,true
42,Horizontal 24/7 interface,4594.33,stuff,NULL,Electronics,true
43,Public-key multi-tasking neural-net,5208.43,stuff,NULL,Books,true
44,Ergonomic tertiary toolset,7072.18,stuff,NULL,Books,true
45,Adaptive web-enabled migration,2544.84,stuff,NULL,Home,true
46,Total zero tolerance open system,6293.46,stuff,NULL,Electronics,true
47,Persistent 5thgeneration open architecture,6744.81,stuff,NULL,Sports,true
48,Seamless well-modulated emulation,257.46,stuff,NULL,Home,true
49,Progressive cohesive software,3186.80,stuff,NULL,Sports,true
50,Multi-channeled responsive standardization,8142.02,stuff,NULL,Home,true
