0,3,161.85,2023-11-02 09:00:46,Pending
1,2,4833.05,2024-08-05 04:44:20,Pending
2,7,7045.74,2024-05-01 14:07:27,Pending
3,3,1415.35,2024-10-26 01:57:20,Pending
4,3,429.87,2024-04-01 02:53:00,Pending
5,3,1971.72,2024-04-06 11:12:43,Cancelled
6,2,5110.03,2024-06-18 23:06:57,Pending
7,1,8559.69,2024-10-02 04:30:54,Fulfilled
8,7,1692.88,2023-11-23 20:57:31,Pending
9,2,9224.3,2024-10-12 08:54:19,Pending
10,1,715.24,2024-07-31 13:07:37,Cancelled
11,0,1753.55,2024-08-10 01:26:44,Cancelled
12,0,332.7,2024-09-15 10:38:43,Cancelled
13,1,5272.49,2024-01-09 14:55:05,Fulfilled
14,7,5120.07,2024-09-11 08:50:12,Pending
15,0,203.69,2024-06-05 00:48:55,Pending
16,3,9262.55,2024-01-17 22:13:23,Fulfilled
17,3,9974.78,2024-07-29 15:23:12,Cancelled
18,3,5307.24,2024-08-30 10:58:22,Fulfilled
19,7,9226.66,2024-10-28 22:46:03,Fulfilled
20,2,1107.52,2024-08-20 11:49:48,Fulfilled
21,7,2081.41,2023-12-29 23:30:37,Pending
22,7,6882.39,2024-01-08 08:34:32,Cancelled
23,7,1387.75,2023-11-13 18:07:54,Fulfilled
24,0,8506.1,2024-01-14 12:58:13,Cancelled
25,1,9842.49,2024-06-24 21:03:55,Pending
26,1,8429.22,2024-05-21 10:58:30,Pending
27,3,6151.12,2024-10-20 01:49:19,Cancelled
28,2,3452.03,2024-05-03 16:18:01,Cancelled
29,0,266.28,2024-05-29 16:23:13,Pending
30,7,6973.57,2024-03-12 23:41:33,Pending
31,0,6655.98,2023-12-11 00:18:33,Fulfilled
32,7,5698.64,2024-03-16 10:59:40,Cancelled
33,1,531.77,2024-03-10 01:05:05,Fulfilled
34,7,8749.65,2024-03-20 05:43:45,Cancelled
35,0,7610.04,2023-12-23 11:45:21,Fulfilled
36,0,6037.38,2024-01-10 13:04:53,Cancelled
37,2,9507.8,2023-11-08 02:05:51,Fulfilled
38,7,5605.1,2024-01-14 17:13:09,Pending
39,1,4344.11,2024-07-08 06:37:53,Pending
40,3,4437.0,2024-09-05 01:32:03,Fulfilled
41,0,1596.49,2024-06-20 19:43:16,Cancelled
42,2,6608.26,2024-03-18 14:51:00,Pending
43,1,8725.14,2023-11-21 14:30:33,Fulfilled
44,3,7428.27,2024-06-22 06:08:34,Cancelled
45,3,5425.19,2024-07-18 17:35:16,Fulfilled
46,7,1022.94,2024-09-25 09:14:38,Fulfilled
47,1,5212.45,2024-01-09 19:03:53,Pending
48,1,1994.79,2024-09-07 06:04:59,Fulfilled
49,2,9355.17,2024-03-30 04:22:31,Pending
50,3,9568.61,2023-12-08 00:45:46,Pending
51,0,5246.51,2024-03-15 20:40:49,Pending
52,2,7830.15,2024-04-05 10:28:47,Cancelled
53,0,9346.63,2024-03-04 23:52:39,Fulfilled
54,7,7511.87,2024-08-16 08:27:51,Cancelled
55,1,1277.4,2024-05-03 16:44:19,Pending
56,0,219.12,2024-05-26 15:24:51,Fulfilled
57,3,9651.11,2023-11-11 10:12:58,Cancelled
58,7,9923.64,2023-12-07 19:17:23,Pending
59,3,8290.96,2024-03-18 21:03:28,Pending
60,1,8357.08,2023-11-13 11:20:46,Pending
61,7,9254.88,2024-06-30 13:30:54,Fulfilled
62,0,5440.2,2023-10-31 21:54:16,Fulfilled
63,3,1523.95,2023-12-31 13:10:45,Cancelled
64,2,7691.31,2024-01-01 23:38:40,Pending
65,2,5184.91,2024-07-06 05:29:03,Cancelled
66,2,618.17,2024-10-06 23:02:24,Cancelled
67,3,7864.55,2023-11-09 21:24:48,Fulfilled
68,1,1889.96,2023-11-17 18:48:49,Pending
69,2,5465.92,2024-07-04 12:01:24,Fulfilled
70,3,9627.52,2024-01-05 15:48:12,Pending
71,3,1151.26,2024-01-27 09:58:47,Pending
72,1,9484.26,2024-04-28 09:39:45,Fulfilled
73,7,6883.13,2023-12-24 05:21:59,Fulfilled
74,7,4285.44,2024-08-25 23:07:53,Pending
75,2,281.56,2024-10-26 22:10:14,Cancelled
76,0,3277.71,2024-07-24 09:52:43,Fulfilled
77,2,8637.18,2023-12-28 10:47:03,Pending
78,0,5900.23,2024-09-15 16:09:59,Fulfilled
79,7,8674.3,2023-11-02 01:35:23,Pending
80,0,6907.81,2024-08-28 10:24:34,Pending
81,7,3558.07,2024-06-25 02:29:08,Pending
82,2,4597.66,2024-07-19 05:27:19,Fulfilled
83,0,7732.76,2024-04-11 06:02:49,Fulfilled
84,7,7674.96,2024-10-20 11:22:58,Cancelled
85,3,6657.55,2024-08-02 20:02:46,Pending
86,2,6029.4,2024-03-21 00:06:30,Cancelled
87,2,9082.37,2024-05-25 18:17:57,Fulfilled
88,0,6976.77,2023-12-21 00:56:04,Fulfilled
89,7,1079.85,2024-07-13 10:29:21,Fulfilled
90,0,9256.66,2024-04-16 05:23:16,Fulfilled
91,2,2550.88,2024-05-01 14:25:11,Fulfilled
92,2,1573.11,2024-10-21 12:00:57,Fulfilled
93,2,9892.44,2024-07-08 05:26:10,Fulfilled
94,1,809.87,2024-10-23 02:03:03,Cancelled
95,0,5283.08,2024-09-20 03:19:28,Fulfilled
